Zipcode,Household Income,Population,Median Age,Per Capita Income,Poverty Count,White Population,Male Median Age,Female Median Age,F 20-24,F 25-29,F 30-34,F 35-44,F 45-54,% White,% F20-24,% F25-29,% F30-34,% F35-44,% F45-54
64133,50681.0,35163.0,40.8,26720.0,4690.0,20850.0,44.1,49.4,539.0,630.0,627.0,1280.0,1598.0,0.5929528197252795,0.015328612461962859,0.01791656002047607,0.01783124306799761,0.03640189972414185,0.04544549668685834
64131,45688.0,22932.0,37.2,30411.0,4021.0,11811.0,38.9,43.2,428.0,461.0,777.0,573.0,748.0,0.5150444793301936,0.01866387580673295,0.020102912960055817,0.03388278388278388,0.0249869178440607,0.03261817547531833
64130,31166.0,19996.0,39.3,21925.0,5238.0,1474.0,29.6,29.5,79.0,139.0,46.0,153.0,35.0,0.07371474294858972,0.003950790158031606,0.0069513902780556115,0.0023004600920184036,0.007651530306061212,0.0017503500700140028
64119,68841.0,27848.0,38.3,33224.0,1785.0,23323.0,39.7,43.2,712.0,982.0,959.0,1433.0,1713.0,0.8375107727664465,0.025567365699511634,0.03526285550129273,0.03443694340706693,0.051457914392415975,0.06151249640907785
64134,41543.0,23874.0,31.3,20078.0,5507.0,6793.0,47.1,45.5,147.0,283.0,308.0,386.0,384.0,0.284535477925777,0.006157325961296809,0.011853899639775487,0.012901063918907598,0.01616821646979978,0.016084443327469212
64108,49500.0,7799.0,35.4,39759.0,1590.0,4812.0,35.6,33.8,227.0,366.0,300.0,234.0,219.0,0.6170021797666367,0.029106295678933195,0.04692909347352225,0.03846647006026414,0.030003846647006026,0.02808052314399282
64113,136913.0,11988.0,42.5,73133.0,248.0,11045.0,43.3,43.6,96.0,279.0,479.0,733.0,814.0,0.921338004671338,0.008008008008008008,0.023273273273273273,0.039956623289956625,0.06114447781114448,0.06790123456790123
64132,36074.0,14817.0,31.6,18374.0,4542.0,2387.0,36.9,30.2,103.0,218.0,18.0,101.0,176.0,0.16109873793615442,0.006951474657488021,0.014712829857596005,0.0012148208139299453,0.00681649456705136,0.011878247958426132
64112,74864.0,8352.0,35.7,78107.0,769.0,7388.0,38.0,36.6,476.0,725.0,209.0,454.0,303.0,0.8845785440613027,0.05699233716475096,0.08680555555555555,0.025023946360153256,0.05435823754789272,0.03627873563218391
64146,60667.0,1506.0,42.3,34966.0,93.0,1124.0,36.8,53.3,10.0,22.0,60.0,29.0,69.0,0.7463479415670651,0.006640106241699867,0.014608233731739707,0.0398406374501992,0.019256308100929615,0.045816733067729085
64127,25472.0,15457.0,35.5,16498.0,5473.0,4292.0,39.4,40.8,109.0,113.0,164.0,245.0,338.0,0.2776735459662289,0.007051821181341787,0.00731060361001488,0.010610079575596816,0.01585042375622695,0.021867115222876366
64125,22328.0,1389.0,36.2,14382.0,290.0,906.0,42.3,48.3,4.0,32.0,30.0,43.0,77.0,0.652267818574514,0.0028797696184305254,0.023038156947444204,0.02159827213822894,0.03095752339812815,0.05543556515478762
64149,116719.0,355.0,50.3,48321.0,9.0,352.0,51.0,50.2,0.0,0.0,9.0,21.0,44.0,0.9915492957746479,0.0,0.0,0.02535211267605634,0.059154929577464786,0.12394366197183099
64138,46915.0,26032.0,35.9,24402.0,4334.0,11580.0,40.7,47.4,412.0,470.0,308.0,531.0,730.0,0.4448371235402581,0.015826674861708665,0.018054701905347265,0.01183159188690842,0.020397971727105103,0.02804240934234788
64114,63694.0,24405.0,39.9,40033.0,1669.0,19850.0,39.5,44.6,274.0,1333.0,1110.0,1176.0,1119.0,0.8133579184593321,0.011227207539438639,0.054619954927269,0.04548248309772587,0.04818684695759066,0.045851259987707435
